p,df,pattern,eps,min_var,max_var,q95_profile,q95_chi,q95_gap_chi_minus_profile,profile_tail_at_chi_q95,chi_tail_at_profile_q95,tail_gap_at_chi_q95,trace,trace_over_df,lambda_min,lambda_max,lambda_sd,imag_max
6,14,half,0.15,0.85,1.15,23.02417780202743,23.68479130484058,0.660613502813149,0.04204858517066097,0.059877439828535,-0.007951414829339032,13.20835048246926,0.9434536058906614,0.43902774441972,1.5609722579362957,0.34257853721247505,8.319194821426608e-18
4,5,spike_hi,0.3,0.9,1.3,10.627285359570834,11.070497693516351,0.4432123339455174,0.04227533604552652,0.059291621320060245,-0.007724663954473486,4.676498431407822,0.9352996862815643,0.6334860480194877,1.2598917123469628,0.2810616768811212,4.7963142450209904e-18
5,9,alternating,0.15,0.85,1.1,16.52433444795127,16.91897760462045,0.3946431566691828,0.04424356143156569,0.056707245304384084,-0.005756438568434316,8.590478195325685,0.9544975772584094,0.5779313833942974,1.542635647177799,0.28477355392330017,0.0
5,9,spike_hi,0.3,0.925,1.3,16.550770214221266,16.91897760462045,0.36820739039918493,0.044555178140935146,0.05623357189081973,-0.0054448218590648564,8.628145545003136,0.9586828383336817,0.6233027995809023,1.1904896299440089,0.264467553309355,6.475649258441907e-17
4,5,linear,0.15,0.85,1.15,10.79770820583268,11.070497693516351,0.27278948768367073,0.04505898916900947,0.0555416772242857,-0.004941010830990536,4.800792710781085,0.960158542156217,0.6472367949653329,1.3012435178803945,0.22438283974140472,0.0
5,9,half,0.15,0.9,1.15,16.59014116503011,16.91897760462045,0.32883643959034004,0.0451201431779512,0.05553479183955674,-0.004879856822048806,8.662102674710038,0.9624558527455598,0.5134106458927861,1.3480924293767456,0.2569610983081077,0.0
6,14,spike_hi,0.3,0.94,1.3,23.317632798766574,23.68479130484058,0.3671585060740057,0.045276314695108934,0.05529357263565305,-0.004723685304891069,13.57956100939059,0.9699686435278992,0.6170872076002518,1.1502824505100075,0.24427237662890122,0.0
5,9,linear,0.15,0.85,1.15,16.64645928211462,16.91897760462045,0.27251832250583163,0.0459130165699187,0.05454894821661713,-0.004086983430081299,8.713123994463665,0.9681248882737405,0.6008325773877983,1.40616897737985,0.24018109175826483,0.0
6,14,linear,0.15,0.85,1.15,23.377698443379913,23.68479130484058,0.30709286146066717,0.046048664298755426,0.05439476566929647,-0.0039513357012445766,13.612994086984372,0.9723567204988838,0.5771243555395391,1.4713027441727209,0.24619257318654011,3.096395624917378e-18
4,5,spike_lo,0.15,0.85,1.05,10.876356636466475,11.070497693516351,0.19414105704987605,0.04642230949307281,0.05388733274919839,-0.003577690506927196,4.856046144623719,0.9712092289247438,0.7596161945338146,1.1919030390418233,0.19353864550976912,0.0
4,5,spike_hi,0.15,0.95,1.15,10.9361531401428,11.070497693516351,0.1343445533735519,0.04748706019974597,0.052660677295626825,-0.0025129398002540354,4.90137312463268,0.9802746249265359,0.8052021981844765,1.1621459808886931,0.15977483606869666,5.974089406558542e-17
5,9,spike_lo,0.15,0.85,1.0375,16.756095085174138,16.91897760462045,0.16288251944631327,0.047498805834248314,0.052675350193486646,-0.0025011941657516884,8.821039555845957,0.9801155062051063,0.8134426899502885,1.2358327037347452,0.19420981989684566,2.7546722635498993e-17
6,14,spike_lo,0.15,0.85,1.03,23.529608540275184,23.68479130484058,0.15518276456539581,0.04794426320340276,0.05217947153419532,-0.002055736796597242,13.788724096059358,0.9849088640042398,0.8476099337009407,1.2634233342665424,0.18798454907931383,4.304379755951889e-17
5,9,spike_hi,0.15,0.9625,1.15,16.80911178740751,16.91897760462045,0.10986581721294186,0.048284377397112554,0.05179054268994964,-0.0017156226028874483,8.884979749285966,0.9872199721428851,0.79260788669007,1.119495374084615,0.15170075420425527,1.7131286126761194e-17
6,14,spike_hi,0.15,0.97,1.15,23.57713647339954,23.68479130484058,0.10765483144103882,0.04854990842304728,0.05150311260472833,-0.0014500915769527223,13.868968827341957,0.9906406305244255,0.7851573177508626,1.0945989645035041,0.14119019567067995,0.0
4,5,alternating,0.05,0.95,1.05,11.016320824889991,11.070497693516351,0.054176868626360175,0.04896683503894821,0.051057348127601467,-0.0010331649610517898,4.960199255460596,0.9920398510921192,0.8332075624445284,1.1568422518862433,0.10237129282263173,2.4435745268096503e-17
4,5,half,0.05,0.95,1.05,11.016320824889991,11.070497693516351,0.054176868626360175,0.04896683503894821,0.051057348127601467,-0.0010331649610517898,4.960199255460596,0.9920398510921192,0.8332075624445278,1.1568422518862433,0.10237129282263281,9.752535131184344e-19
6,14,alternating,0.05,0.95,1.05,23.613348979612432,23.68479130484058,0.07144232522814775,0.04903180677900006,0.05099305158842789,-0.0009681932209999397,13.908462279621585,0.9934615914015418,0.8014937728518525,1.1985062295900648,0.12100409049117333,0.0
6,14,half,0.05,0.95,1.05,23.613348979612432,23.68479130484058,0.07144232522814775,0.04903180677900006,0.05099305158842789,-0.0009681932209999397,13.90846227962158,0.9934615914015413,0.8014937728518519,1.1985062295900646,0.12100409049117516,0.0
5,9,alternating,0.05,0.95,1.0333333333333334,16.878295533288295,16.91897760462045,0.04068207133215651,0.04935444776855207,0.05065631835394621,-0.0006455522314479309,8.956214366180049,0.995134929575561,0.862815625891705,1.1827245279449494,0.09557552927907312,0.0
5,9,half,0.05,0.9666666666666667,1.05,16.88062083954987,16.91897760462045,0.03835676507058139,0.0493908887818827,0.05061859346947967,-0.0006091112181173045,8.959002579651884,0.9954447310724315,0.824319825056155,1.1283717858688078,0.09209097258727575,0.0
4,5,linear,0.05,0.95,1.05,11.040351982705356,11.070497693516351,0.03014571081099504,0.04942175530915421,0.05058576642334609,-0.0005782446908457958,4.977786914609617,0.9955573829219235,0.884663891439258,1.1096209140548585,0.07673890204894199,0.0
5,9,linear,0.05,0.95,1.05,16.889325087147583,16.91897760462045,0.029652517472868567,0.049528104516984105,0.05047760678269422,-0.00047189548301589807,8.968124415213852,0.9964582683570947,0.8630399628272163,1.137877127001172,0.0814756233802816,0.0
6,14,linear,0.05,0.95,1.05,23.651490820726387,23.68479130484058,0.03330048411419284,0.049544748383510626,0.05046070449471728,-0.0004552516164893772,13.9570586824964,0.9969327630354572,0.8512290774101424,1.154323564213907,0.08313540557651898,9.730551530550901e-18
4,5,spike_lo,0.05,0.95,1.0166666666666666,11.051279902962612,11.070497693516351,0.019217790553739178,0.04963038699291701,0.05037268046320145,-0.0003696130070829917,4.98579900734427,0.9971598014688541,0.9288448335381689,1.0664073969927186,0.06152691741883836,0.0
4,5,spike_hi,0.05,0.9833333333333333,1.05,11.053522417958774,11.070497693516351,0.016975275557577163,0.04967332808764342,0.05032905794627931,-0.0003266719123565798,4.987500062108212,0.9975000124216423,0.9335568068397845,1.0622873527663372,0.057576238626778055,0.0
5,9,spike_lo,0.05,0.95,1.0125,16.903173593955508,16.91897760462045,0.015804010664943746,0.04974761075462387,0.050254035443405363,-0.0002523892453761348,8.982833924965428,0.998092658329492,0.9461357491807699,1.0765854995861326,0.06015882967945589,0.0
5,9,spike_hi,0.05,0.9875,1.05,16.905125642066047,16.91897760462045,0.013851962554404906,0.049778642033097606,0.05022259428875575,-0.00022135796690239684,8.985201388378362,0.998355709819818,0.9268217098840665,1.0463690196627804,0.0553033777007976,0.0
6,14,spike_lo,0.05,0.95,1.01,23.669658006580597,23.68479130484058,0.015133298259982553,0.049792258669051764,0.050208896948025716,-0.00020774133094823843,13.980057316375884,0.9985755225982774,0.956666861160511,1.082764266290497,0.05719141946598175,1.9941758540998034e-17
6,14,spike_hi,0.05,0.99,1.05,23.671387935647004,23.68479130484058,0.013403369193575543,0.04981588964923287,0.05018497788314819,-0.00018411035076713184,13.98300458990665,0.9987860421361894,0.9228140408556084,1.0369303178574758,0.05191685482085846,0.0
